"Type","Journal","Jacr","nRefs","nSupRefs"
"Ecology","AMERICAN NATURALIST","AmNat",27,0
"Ecology","AMERICAN NATURALIST","AmNat",45,0
"Ecology","AMERICAN NATURALIST","AmNat",87,0
"Ecology","AMERICAN NATURALIST","AmNat",73,0
"Ecology","AMERICAN NATURALIST","AmNat",172,0
"Ecology","AMERICAN NATURALIST","AmNat",60,0
"Ecology","AMERICAN NATURALIST","AmNat",97,0
"Ecology","AMERICAN NATURALIST","AmNat",72,0
"Ecology","AMERICAN NATURALIST","AmNat",30,0
"Ecology","AMERICAN NATURALIST","AmNat",30,0
"Ecology","AMERICAN NATURALIST","AmNat",62,0
"Ecology","AMERICAN NATURALIST","AmNat",43,0
"Ecology","AMERICAN NATURALIST","AmNat",92,3
"Ecology","AMERICAN NATURALIST","AmNat",52,11
"Ecology","AMERICAN NATURALIST","AmNat",76,9
"FieldEcology","AMPHIBIA-REPTILIA","AmpRept",51,0
"FieldEcology","AMPHIBIA-REPTILIA","AmpRept",37,0
"FieldEcology","AMPHIBIA-REPTILIA","AmpRept",9,0
"FieldEcology","AMPHIBIA-REPTILIA","AmpRept",49,0
"FieldEcology","AMPHIBIA-REPTILIA","AmpRept",45,0
"FieldEcology","AMPHIBIA-REPTILIA","AmpRept",16,0
"FieldEcology","AMPHIBIA-REPTILIA","AmpRept",23,0
"FieldEcology","AMPHIBIA-REPTILIA","AmpRept",31,0
"FieldEcology","AMPHIBIA-REPTILIA","AmpRept",63,0
"FieldEcology","AMPHIBIA-REPTILIA","AmpRept",18,0
"FieldEcology","AMPHIBIA-REPTILIA","AmpRept",14,0
"FieldEcology","AMPHIBIA-REPTILIA","AmpRept",38,0
"FieldEcology","AMPHIBIA-REPTILIA","AmpRept",27,0
"FieldEcology","AMPHIBIA-REPTILIA","AmpRept",17,0
"FieldEcology","AMPHIBIA-REPTILIA","AmpRept",26,4
"FieldEcology","BIRD CONSERVATION INTERNATIONAL","BCI",32,0
"FieldEcology","BIRD CONSERVATION INTERNATIONAL","BCI",13,0
"FieldEcology","BIRD CONSERVATION INTERNATIONAL","BCI",31,0
"FieldEcology","BIRD CONSERVATION INTERNATIONAL","BCI",19,0
"FieldEcology","BIRD CONSERVATION INTERNATIONAL","BCI",26,0
"FieldEcology","BIRD CONSERVATION INTERNATIONAL","BCI",43,0
"FieldEcology","BIRD CONSERVATION INTERNATIONAL","BCI",14,0
"FieldEcology","BIRD CONSERVATION INTERNATIONAL","BCI",41,0
"FieldEcology","BIRD CONSERVATION INTERNATIONAL","BCI",26,0
"FieldEcology","BIRD CONSERVATION INTERNATIONAL","BCI",1,0
"FieldEcology","BIRD CONSERVATION INTERNATIONAL","BCI",24,0
"FieldEcology","BIRD CONSERVATION INTERNATIONAL","BCI",35,0
"FieldEcology","BIRD CONSERVATION INTERNATIONAL","BCI",20,2
"FieldEcology","BIRD CONSERVATION INTERNATIONAL","BCI",19,6
"FieldEcology","BIRD CONSERVATION INTERNATIONAL","BCI",13,21
"Conservation","BIODIVERSITY AND CONSERVATION","BiodivCons",20,0
"Conservation","BIODIVERSITY AND CONSERVATION","BiodivCons",27,0
"Conservation","BIODIVERSITY AND CONSERVATION","BiodivCons",36,0
"Conservation","BIODIVERSITY AND CONSERVATION","BiodivCons",50,0
"Conservation","BIODIVERSITY AND CONSERVATION","BiodivCons",95,0
"Conservation","BIODIVERSITY AND CONSERVATION","BiodivCons",68,0
"Conservation","BIODIVERSITY AND CONSERVATION","BiodivCons",70,0
"Conservation","BIODIVERSITY AND CONSERVATION","BiodivCons",68,0
"Conservation","BIODIVERSITY AND CONSERVATION","BiodivCons",54,0
"Conservation","BIODIVERSITY AND CONSERVATION","BiodivCons",32,0
"Conservation","BIODIVERSITY AND CONSERVATION","BiodivCons",34,4
"Conservation","BIODIVERSITY AND CONSERVATION","BiodivCons",42,8
"Conservation","BIODIVERSITY AND CONSERVATION","BiodivCons",8,9
"Conservation","BIODIVERSITY AND CONSERVATION","BiodivCons",50,10
"Conservation","BIODIVERSITY AND CONSERVATION","BiodivCons",50,10
"Conservation","BIOLOGICAL CONSERVATION","BiolCons",45,0
"Conservation","BIOLOGICAL CONSERVATION","BiolCons",43,0
"Conservation","BIOLOGICAL CONSERVATION","BiolCons",35,0
"Conservation","BIOLOGICAL CONSERVATION","BiolCons",29,0
"Conservation","BIOLOGICAL CONSERVATION","BiolCons",70,0
"Conservation","BIOLOGICAL CONSERVATION","BiolCons",56,0
"Conservation","BIOLOGICAL CONSERVATION","BiolCons",26,0
"Conservation","BIOLOGICAL CONSERVATION","BiolCons",18,0
"Conservation","BIOLOGICAL CONSERVATION","BiolCons",46,0
"Conservation","BIOLOGICAL CONSERVATION","BiolCons",43,0
"Conservation","BIOLOGICAL CONSERVATION","BiolCons",32,0
"Conservation","BIOLOGICAL CONSERVATION","BiolCons",25,0
"Conservation","BIOLOGICAL CONSERVATION","BiolCons",61,0
"Conservation","BIOLOGICAL CONSERVATION","BiolCons",16,0
"Conservation","BIOLOGICAL CONSERVATION","BiolCons",81,0
"Ecology","BIOTROPICA","BioTr",44,0
"Ecology","BIOTROPICA","BioTr",58,0
"Ecology","BIOTROPICA","BioTr",38,0
"Ecology","BIOTROPICA","BioTr",36,0
"Ecology","BIOTROPICA","BioTr",39,0
"Ecology","BIOTROPICA","BioTr",15,0
"Ecology","BIOTROPICA","BioTr",45,0
"Ecology","BIOTROPICA","BioTr",50,0
"Ecology","BIOTROPICA","BioTr",55,0
"Ecology","BIOTROPICA","BioTr",69,0
"Ecology","BIOTROPICA","BioTr",36,0
"Ecology","BIOTROPICA","BioTr",47,0
"Ecology","BIOTROPICA","BioTr",48,0
"Ecology","BIOTROPICA","BioTr",41,9
"Ecology","BIOTROPICA","BioTr",54,30
"Conservation","CONSERVATION BIOLOGY","ConsBiol",21,0
"Conservation","CONSERVATION BIOLOGY","ConsBiol",59,76
"Conservation","CONSERVATION BIOLOGY","ConsBiol",31,0
"Conservation","CONSERVATION BIOLOGY","ConsBiol",36,0
"Conservation","CONSERVATION BIOLOGY","ConsBiol",30,0
"Conservation","CONSERVATION BIOLOGY","ConsBiol",20,0
"Conservation","CONSERVATION BIOLOGY","ConsBiol",27,0
"Conservation","CONSERVATION BIOLOGY","ConsBiol",34,2
"Conservation","CONSERVATION BIOLOGY","ConsBiol",29,13
"Conservation","CONSERVATION BIOLOGY","ConsBiol",25,8
"Conservation","CONSERVATION BIOLOGY","ConsBiol",55,11
"Conservation","CONSERVATION BIOLOGY","ConsBiol",24,11
"Conservation","CONSERVATION BIOLOGY","ConsBiol",47,19
"Conservation","CONSERVATION BIOLOGY","ConsBiol",16,26
"Conservation","CONSERVATION BIOLOGY","ConsBiol",12,0
"Conservation","CONSERVATION LETTERS","ConsLett",33,0
"Conservation","CONSERVATION LETTERS","ConsLett",19,0
"Conservation","CONSERVATION LETTERS","ConsLett",23,0
"Conservation","CONSERVATION LETTERS","ConsLett",22,0
"Conservation","CONSERVATION LETTERS","ConsLett",9,4
"Conservation","CONSERVATION LETTERS","ConsLett",26,6
"Conservation","CONSERVATION LETTERS","ConsLett",25,12
"Conservation","CONSERVATION LETTERS","ConsLett",29,15
"Conservation","CONSERVATION LETTERS","ConsLett",21,16
"Conservation","CONSERVATION LETTERS","ConsLett",48,20
"Conservation","CONSERVATION LETTERS","ConsLett",21,23
"Conservation","CONSERVATION LETTERS","ConsLett",29,36
"Conservation","CONSERVATION LETTERS","ConsLett",20,38
"Conservation","CONSERVATION LETTERS","ConsLett",36,126
"Conservation","CONSERVATION LETTERS","ConsLett",28,175
"Macroecology","DIVERSITY AND DISTRIBUTIONS","DDI",30,0
"Macroecology","DIVERSITY AND DISTRIBUTIONS","DDI",47,0
"Macroecology","DIVERSITY AND DISTRIBUTIONS","DDI",66,0
"Macroecology","DIVERSITY AND DISTRIBUTIONS","DDI",58,0
"Macroecology","DIVERSITY AND DISTRIBUTIONS","DDI",57,0
"Macroecology","DIVERSITY AND DISTRIBUTIONS","DDI",54,0
"Macroecology","DIVERSITY AND DISTRIBUTIONS","DDI",39,0
"Macroecology","DIVERSITY AND DISTRIBUTIONS","DDI",33,0
"Macroecology","DIVERSITY AND DISTRIBUTIONS","DDI",56,0
"Macroecology","DIVERSITY AND DISTRIBUTIONS","DDI",34,2
"Macroecology","DIVERSITY AND DISTRIBUTIONS","DDI",67,8
"Macroecology","DIVERSITY AND DISTRIBUTIONS","DDI",60,13
"Macroecology","DIVERSITY AND DISTRIBUTIONS","DDI",50,16
"Macroecology","DIVERSITY AND DISTRIBUTIONS","DDI",66,16
"Macroecology","DIVERSITY AND DISTRIBUTIONS","DDI",30,251
"Macroecology","ECOGRAPHY","Ecography",70,0
"Macroecology","ECOGRAPHY","Ecography",67,0
"Macroecology","ECOGRAPHY","Ecography",59,0
"Macroecology","ECOGRAPHY","Ecography",25,0
"Macroecology","ECOGRAPHY","Ecography",12,0
"Macroecology","ECOGRAPHY","Ecography",54,0
"Macroecology","ECOGRAPHY","Ecography",53,0
"Macroecology","ECOGRAPHY","Ecography",53,0
"Macroecology","ECOGRAPHY","Ecography",47,0
"Macroecology","ECOGRAPHY","Ecography",67,0
"Macroecology","ECOGRAPHY","Ecography",146,0
"Macroecology","ECOGRAPHY","Ecography",21,3
"Macroecology","ECOGRAPHY","Ecography",164,88
"Macroecology","ECOGRAPHY","Ecography",57,206
"Macroecology","ECOGRAPHY","Ecography",70,0
"FieldEcology","ECOLOGICAL ENTOMOLOGY","EcolEnt",55,0
"FieldEcology","ECOLOGICAL ENTOMOLOGY","EcolEnt",21,0
"FieldEcology","ECOLOGICAL ENTOMOLOGY","EcolEnt",56,0
"FieldEcology","ECOLOGICAL ENTOMOLOGY","EcolEnt",122,0
"FieldEcology","ECOLOGICAL ENTOMOLOGY","EcolEnt",33,0
"FieldEcology","ECOLOGICAL ENTOMOLOGY","EcolEnt",44,0
"FieldEcology","ECOLOGICAL ENTOMOLOGY","EcolEnt",41,0
"FieldEcology","ECOLOGICAL ENTOMOLOGY","EcolEnt",22,0
"FieldEcology","ECOLOGICAL ENTOMOLOGY","EcolEnt",64,1
"FieldEcology","ECOLOGICAL ENTOMOLOGY","EcolEnt",19,2
"FieldEcology","ECOLOGICAL ENTOMOLOGY","EcolEnt",72,2
"FieldEcology","ECOLOGICAL ENTOMOLOGY","EcolEnt",40,3
"FieldEcology","ECOLOGICAL ENTOMOLOGY","EcolEnt",13,5
"FieldEcology","ECOLOGICAL ENTOMOLOGY","EcolEnt",33,7
"FieldEcology","ECOLOGICAL ENTOMOLOGY","EcolEnt",56,0
"Ecology","ECOLOGY AND EVOLUTION","EcolEvol",58,0
"Ecology","ECOLOGY AND EVOLUTION","EcolEvol",66,0
"Ecology","ECOLOGY AND EVOLUTION","EcolEvol",45,0
"Ecology","ECOLOGY AND EVOLUTION","EcolEvol",67,0
"Ecology","ECOLOGY AND EVOLUTION","EcolEvol",32,0
"Ecology","ECOLOGY AND EVOLUTION","EcolEvol",28,0
"Ecology","ECOLOGY AND EVOLUTION","EcolEvol",40,0
"Ecology","ECOLOGY AND EVOLUTION","EcolEvol",82,0
"Ecology","ECOLOGY AND EVOLUTION","EcolEvol",64,0
"Ecology","ECOLOGY AND EVOLUTION","EcolEvol",30,0
"Ecology","ECOLOGY AND EVOLUTION","EcolEvol",52,0
"Ecology","ECOLOGY AND EVOLUTION","EcolEvol",59,2
"Ecology","ECOLOGY AND EVOLUTION","EcolEvol",41,3
"Ecology","ECOLOGY AND EVOLUTION","EcolEvol",79,20
"Ecology","ECOLOGY AND EVOLUTION","EcolEvol",38,43
"Ecology","ECOLOGY","Ecology",21,0
"Ecology","ECOLOGY","Ecology",56,0
"Ecology","ECOLOGY","Ecology",54,0
"Ecology","ECOLOGY","Ecology",90,0
"Ecology","ECOLOGY","Ecology",61,0
"Ecology","ECOLOGY","Ecology",51,0
"Ecology","ECOLOGY","Ecology",35,0
"Ecology","ECOLOGY","Ecology",47,0
"Ecology","ECOLOGY","Ecology",50,5
"Ecology","ECOLOGY","Ecology",68,6
"Ecology","ECOLOGY","Ecology",59,16
"Ecology","ECOLOGY","Ecology",94,19
"Ecology","ECOLOGY","Ecology",57,20
"Ecology","ECOLOGY","Ecology",24,828
"Ecology","ECOLOGY","Ecology",52,14
"Ecology","ECOLOGY LETTERS","EL",136,0
"Ecology","ECOLOGY LETTERS","EL",42,0
"Ecology","ECOLOGY LETTERS","EL",53,0
"Ecology","ECOLOGY LETTERS","EL",70,0
"Ecology","ECOLOGY LETTERS","EL",52,0
"Ecology","ECOLOGY LETTERS","EL",55,0
"Ecology","ECOLOGY LETTERS","EL",71,4
"Ecology","ECOLOGY LETTERS","EL",75,6
"Ecology","ECOLOGY LETTERS","EL",25,6
"Ecology","ECOLOGY LETTERS","EL",28,7
"Ecology","ECOLOGY LETTERS","EL",55,7
"Ecology","ECOLOGY LETTERS","EL",73,26
"Ecology","ECOLOGY LETTERS","EL",56,20
"Ecology","ECOLOGY LETTERS","EL",57,34
"Ecology","ECOLOGY LETTERS","EL",62,44
"FieldEcology","FRESHWATER BIOLOGY","FrBiol",41,0
"FieldEcology","FRESHWATER BIOLOGY","FrBiol",68,0
"FieldEcology","FRESHWATER BIOLOGY","FrBiol",43,0
"FieldEcology","FRESHWATER BIOLOGY","FrBiol",35,0
"FieldEcology","FRESHWATER BIOLOGY","FrBiol",63,0
"FieldEcology","FRESHWATER BIOLOGY","FrBiol",70,0
"FieldEcology","FRESHWATER BIOLOGY","FrBiol",44,0
"FieldEcology","FRESHWATER BIOLOGY","FrBiol",64,0
"FieldEcology","FRESHWATER BIOLOGY","FrBiol",49,0
"FieldEcology","FRESHWATER BIOLOGY","FrBiol",39,0
"FieldEcology","FRESHWATER BIOLOGY","FrBiol",57,0
"FieldEcology","FRESHWATER BIOLOGY","FrBiol",52,0
"FieldEcology","FRESHWATER BIOLOGY","FrBiol",55,3
"FieldEcology","FRESHWATER BIOLOGY","FrBiol",55,3
"FieldEcology","FRESHWATER BIOLOGY","FrBiol",85,246
"Ecology","FUNCTIONAL ECOLOGY","FunctEcol",38,0
"Ecology","FUNCTIONAL ECOLOGY","FunctEcol",33,0
"Ecology","FUNCTIONAL ECOLOGY","FunctEcol",63,0
"Ecology","FUNCTIONAL ECOLOGY","FunctEcol",52,0
"Ecology","FUNCTIONAL ECOLOGY","FunctEcol",54,0
"Ecology","FUNCTIONAL ECOLOGY","FunctEcol",86,0
"Ecology","FUNCTIONAL ECOLOGY","FunctEcol",23,0
"Ecology","FUNCTIONAL ECOLOGY","FunctEcol",70,0
"Ecology","FUNCTIONAL ECOLOGY","FunctEcol",49,0
"Ecology","FUNCTIONAL ECOLOGY","FunctEcol",98,0
"Ecology","FUNCTIONAL ECOLOGY","FunctEcol",48,3
"Ecology","FUNCTIONAL ECOLOGY","FunctEcol",44,14
"Ecology","FUNCTIONAL ECOLOGY","FunctEcol",58,18
"Ecology","FUNCTIONAL ECOLOGY","FunctEcol",123,25
"Ecology","FUNCTIONAL ECOLOGY","FunctEcol",58,45
"Macroecology","GLOBAL CHANGE BIOLOGY","GCB",117,0
"Macroecology","GLOBAL CHANGE BIOLOGY","GCB",95,0
"Macroecology","GLOBAL CHANGE BIOLOGY","GCB",74,0
"Macroecology","GLOBAL CHANGE BIOLOGY","GCB",46,0
"Macroecology","GLOBAL CHANGE BIOLOGY","GCB",99,0
"Macroecology","GLOBAL CHANGE BIOLOGY","GCB",60,0
"Macroecology","GLOBAL CHANGE BIOLOGY","GCB",69,0
"Macroecology","GLOBAL CHANGE BIOLOGY","GCB",28,0
"Macroecology","GLOBAL CHANGE BIOLOGY","GCB",57,0
"Macroecology","GLOBAL CHANGE BIOLOGY","GCB",68,1
"Macroecology","GLOBAL CHANGE BIOLOGY","GCB",62,1
"Macroecology","GLOBAL CHANGE BIOLOGY","GCB",32,0
"Macroecology","GLOBAL CHANGE BIOLOGY","GCB",54,4
"Macroecology","GLOBAL CHANGE BIOLOGY","GCB",79,4
"Macroecology","GLOBAL CHANGE BIOLOGY","GCB",80,33
"Macroecology","GLOBAL ECOLOGY AND BIOGEOGRAPHY","GEB",55,0
"Macroecology","GLOBAL ECOLOGY AND BIOGEOGRAPHY","GEB",72,0
"Macroecology","GLOBAL ECOLOGY AND BIOGEOGRAPHY","GEB",53,0
"Macroecology","GLOBAL ECOLOGY AND BIOGEOGRAPHY","GEB",26,0
"Macroecology","GLOBAL ECOLOGY AND BIOGEOGRAPHY","GEB",38,0
"Macroecology","GLOBAL ECOLOGY AND BIOGEOGRAPHY","GEB",55,0
"Macroecology","GLOBAL ECOLOGY AND BIOGEOGRAPHY","GEB",79,0
"Macroecology","GLOBAL ECOLOGY AND BIOGEOGRAPHY","GEB",38,2
"Macroecology","GLOBAL ECOLOGY AND BIOGEOGRAPHY","GEB",49,6
"Macroecology","GLOBAL ECOLOGY AND BIOGEOGRAPHY","GEB",23,6
"Macroecology","GLOBAL ECOLOGY AND BIOGEOGRAPHY","GEB",23,10
"Macroecology","GLOBAL ECOLOGY AND BIOGEOGRAPHY","GEB",46,96
"Macroecology","GLOBAL ECOLOGY AND BIOGEOGRAPHY","GEB",47,44
"Macroecology","GLOBAL ECOLOGY AND BIOGEOGRAPHY","GEB",33,204
"Macroecology","GLOBAL ECOLOGY AND BIOGEOGRAPHY","GEB",115,84
"FieldEcology","HERPETOLOGICA","Herp",31,0
"FieldEcology","HERPETOLOGICA","Herp",8,0
"FieldEcology","HERPETOLOGICA","Herp",43,0
"FieldEcology","HERPETOLOGICA","Herp",40,0
"FieldEcology","HERPETOLOGICA","Herp",46,0
"FieldEcology","HERPETOLOGICA","Herp",31,0
"FieldEcology","HERPETOLOGICA","Herp",20,0
"FieldEcology","HERPETOLOGICA","Herp",28,0
"FieldEcology","HERPETOLOGICA","Herp",94,0
"FieldEcology","HERPETOLOGICA","Herp",46,0
"FieldEcology","HERPETOLOGICA","Herp",48,0
"FieldEcology","HERPETOLOGICA","Herp",88,0
"FieldEcology","HERPETOLOGICA","Herp",52,0
"FieldEcology","HERPETOLOGICA","Herp",27,0
"FieldEcology","HERPETOLOGICA","Herp",58,0
"FieldEcology","HYDROBIOLOGIA","HydroBiol",13,0
"FieldEcology","HYDROBIOLOGIA","HydroBiol",33,0
"FieldEcology","HYDROBIOLOGIA","HydroBiol",43,0
"FieldEcology","HYDROBIOLOGIA","HydroBiol",33,0
"FieldEcology","HYDROBIOLOGIA","HydroBiol",28,0
"FieldEcology","HYDROBIOLOGIA","HydroBiol",16,0
"FieldEcology","HYDROBIOLOGIA","HydroBiol",52,0
"FieldEcology","HYDROBIOLOGIA","HydroBiol",38,0
"FieldEcology","HYDROBIOLOGIA","HydroBiol",52,0
"FieldEcology","HYDROBIOLOGIA","HydroBiol",23,0
"FieldEcology","HYDROBIOLOGIA","HydroBiol",40,0
"FieldEcology","HYDROBIOLOGIA","HydroBiol",43,0
"FieldEcology","HYDROBIOLOGIA","HydroBiol",58,0
"FieldEcology","HYDROBIOLOGIA","HydroBiol",44,0
"FieldEcology","HYDROBIOLOGIA","HydroBiol",45,134
"FieldEcology","IBIS","IBIS",55,0
"FieldEcology","IBIS","IBIS",55,0
"FieldEcology","IBIS","IBIS",47,0
"FieldEcology","IBIS","IBIS",35,0
"FieldEcology","IBIS","IBIS",34,0
"FieldEcology","IBIS","IBIS",14,0
"FieldEcology","IBIS","IBIS",28,0
"FieldEcology","IBIS","IBIS",38,0
"FieldEcology","IBIS","IBIS",21,0
"FieldEcology","IBIS","IBIS",6,0
"FieldEcology","IBIS","IBIS",13,0
"FieldEcology","IBIS","IBIS",29,0
"FieldEcology","IBIS","IBIS",32,0
"FieldEcology","IBIS","IBIS",25,3
"FieldEcology","IBIS","IBIS",21,36
